line,time,level,logger,message,test
75,20:29:42,WARNING,pypost.core.alert_manager,alert_manager_stale_handlers_evicted count=1 log_path=/var/folders/nw/j_4q1l450l39rp9x46khjp6c0000gn/T/tmpix6hjb9k/alerts.log — prior AlertManager was not closed; evicting to prevent accumulation,tests/test_alert_manager.py::TestAlertManagerAccumulation::test_no_accumulation_via_gc_id_reuse
76,20:29:42,WARNING,pypost.core.alert_manager,alert_emitted request_name='test-req' endpoint='http://example.com/api' retries=3 error_category=network webhook=no,tests/test_alert_manager.py::TestAlertManagerAccumulation::test_no_accumulation_via_gc_id_reuse
77,20:29:42,WARNING,pypost.core.alert_manager,alert_emitted request_name='test-req' endpoint='http://example.com/api' retries=3 error_category=network webhook=no,tests/test_alert_manager.py::TestAlertManagerAccumulation::test_no_accumulation_via_gc_id_reuse
78,20:29:42,WARNING,pypost.core.alert_manager,alert_emitted request_name='test-req' endpoint='http://example.com/api' retries=3 error_category=network webhook=no,tests/test_alert_manager.py::TestAlertManagerAccumulation::test_no_accumulation_via_gc_id_reuse
79,20:29:43,WARNING,pypost.core.alert_manager,alert_emitted request_name='test-req' endpoint='http://example.com/api' retries=3 error_category=network webhook=no,tests/test_alert_manager.py::TestAlertManagerAccumulation::test_no_accumulation_via_gc_id_reuse
181,20:29:43,WARNING,pypost.ui.presenters.collection_tree_actions,collection_item_rename_rejected_empty item_type=request item_id=r1,tests/test_collection_tree_actions.py::TestCollectionTreeActionsIsolated::test_rename_rejected_empty_shows_warning
192,20:29:43,ERROR,pypost.ui.presenters.collection_tree_actions,collection_item_delete_failed item_type=collection item_id=c1 error=disk full,tests/test_collection_tree_delete_metrics.py::TestCollectionTreeDeleteMetrics::test_collection_delete_error_records_error_metric
196,20:29:43,WARNING,pypost.ui.presenters.collection_tree_actions,collection_item_delete_not_found item_type=collection item_id=c1,tests/test_collection_tree_delete_metrics.py::TestCollectionTreeDeleteMetrics::test_collection_delete_not_found_records_not_found_metric
200,20:29:43,ERROR,pypost.ui.presenters.collection_tree_actions,collection_item_delete_failed item_type=collection item_id=c1 error=boom,tests/test_collection_tree_delete_metrics.py::TestCollectionTreeDeleteMetrics::test_delete_error_does_not_emit_succeeded_metric
204,20:29:43,ERROR,pypost.ui.presenters.collection_tree_actions,collection_item_delete_failed item_type=request item_id=r1 error=permission denied,tests/test_collection_tree_delete_metrics.py::TestCollectionTreeDeleteMetrics::test_request_delete_error_records_error_metric
208,20:29:43,WARNING,pypost.ui.presenters.collection_tree_actions,collection_item_delete_not_found item_type=request item_id=r1,tests/test_collection_tree_delete_metrics.py::TestCollectionTreeDeleteMetrics::test_request_delete_not_found_records_not_found_metric
236,20:29:43,WARNING,pypost.ui.presenters.collection_tree_actions,collection_item_rename_rejected_empty item_type=request item_id=r1,tests/test_collections_presenter.py::TestCollectionsPresenter::test_rename_empty_name_shows_warning
272,20:29:43,WARNING,pypost.core.key_sources.chain,key_source_chain_active_fallback failed_source=keyring next_source=environment,tests/test_encryption_config.py::test_build_key_provider_keyring_unavailable_falls_back_to_env
278,20:29:43,WARNING,pypost.core.encryption_migration,encryption_migration_operation_skipped operation=re_encrypt reason=encryption_disabled,tests/test_encryption_migrate_cli.py::test_cli_re_encrypt_requires_encryption_enabled
286,20:29:43,ERROR,pypost.core.key_provider,encryption_key_rotation_lookup_failed key_id=c7f3ff5fb38ad2a3 reason=no_source_provided_key,tests/test_encryption_migrate_cli.py::test_cli_verify_json_includes_errors
287,20:29:43,ERROR,pypost.core.encryption_migration,encryption_migration_missing_kids count=1,tests/test_encryption_migrate_cli.py::test_cli_verify_json_includes_errors
288,20:29:43,WARNING,pypost.core.encryption_migration,encryption_migration_verify_completed success=false error_count=1,tests/test_encryption_migrate_cli.py::test_cli_verify_json_includes_errors
298,20:29:43,ERROR,pypost.core.encryption_migration,encryption_migration_data_quality_errors count=1,tests/test_encryption_migration.py::test_verify_decrypt_access_fails_on_data_quality_errors
302,20:29:43,ERROR,pypost.core.encryption_migration,encryption_migration_data_quality_errors count=1,tests/test_encryption_migration.py::test_bulk_re_encrypt_aborts_on_invalid_hidden
303,20:29:43,WARNING,pypost.core.encryption_migration,encryption_migration_operation_completed operation=re_encrypt success=false error_count=1,tests/test_encryption_migration.py::test_bulk_re_encrypt_aborts_on_invalid_hidden
309,20:29:43,ERROR,pypost.core.key_provider,encryption_key_rotation_lookup_failed key_id=d07e90f3fca00488 reason=no_source_provided_key,tests/test_encryption_migration.py::test_verify_decrypt_access_detects_missing_kid
310,20:29:43,ERROR,pypost.core.encryption_migration,encryption_migration_missing_kids count=1,tests/test_encryption_migration.py::test_verify_decrypt_access_detects_missing_kid
311,20:29:43,WARNING,pypost.core.encryption_migration,encryption_migration_verify_completed success=false error_count=1,tests/test_encryption_migration.py::test_verify_decrypt_access_detects_missing_kid
318,20:29:43,WARNING,pypost.core.encryption_migration,encryption_migration_operation_skipped operation=encrypt_plaintext reason=encryption_disabled,tests/test_encryption_migration.py::test_encrypt_plaintext_hidden_when_encryption_disabled
323,20:29:43,ERROR,pypost.core.environment_secrets_codec,env_value_decrypt_failed reason=invalid_token key_id=ab593a2992a7d8c8,tests/test_encryption_migration.py::test_verify_decrypt_access_detects_corrupt_ciphertext
324,20:29:43,ERROR,pypost.core.encryption_migration,encryption_migration_decrypt_failed error_count=1,tests/test_encryption_migration.py::test_verify_decrypt_access_detects_corrupt_ciphertext
325,20:29:43,ERROR,pypost.core.encryption_migration,encryption_migration_decrypt_failed detail=Dev: Failed to decrypt environment variable 'SECRET': Encrypted environment value could not be decrypted with current key.,tests/test_encryption_migration.py::test_verify_decrypt_access_detects_corrupt_ciphertext
326,20:29:43,WARNING,pypost.core.encryption_migration,encryption_migration_verify_completed success=false error_count=1,tests/test_encryption_migration.py::test_verify_decrypt_access_detects_corrupt_ciphertext
336,20:29:43,WARNING,pypost.core.key_sources.chain,key_source_chain_by_id_fallback failed_source=keyring key_id=eb0e6b4f3b4619a4 next_source=environment,tests/test_encryption_migration_key_sources.py::test_bulk_re_encrypt_keyring_primary_rotates_active_kid
337,20:29:43,ERROR,pypost.core.key_provider,encryption_key_rotation_lookup_failed key_id=eb0e6b4f3b4619a4 reason=no_source_provided_key,tests/test_encryption_migration_key_sources.py::test_bulk_re_encrypt_keyring_primary_rotates_active_kid
338,20:29:43,WARNING,pypost.core.key_sources.chain,key_source_chain_by_id_fallback failed_source=keyring key_id=eb0e6b4f3b4619a4 next_source=environment,tests/test_encryption_migration_key_sources.py::test_bulk_re_encrypt_keyring_primary_rotates_active_kid
339,20:29:43,ERROR,pypost.core.key_provider,encryption_key_rotation_lookup_failed key_id=eb0e6b4f3b4619a4 reason=no_source_provided_key,tests/test_encryption_migration_key_sources.py::test_bulk_re_encrypt_keyring_primary_rotates_active_kid
381,20:29:43,ERROR,pypost.core.key_provider,encryption_key_rotation_lookup_failed key_id=c357c334a9e77954 reason=no_source_provided_key,tests/test_env_persistence_e2e.py::test_presenter_load_shows_no_env_when_key_missing_for_encrypted_data
382,20:29:43,ERROR,pypost.core.storage,load_environments_failed file=/var/folders/nw/j_4q1l450l39rp9x46khjp6c0000gn/T/tmp0z505g52/environments.json error=Failed to decrypt environment variable 'SECRET': Encryption key is unavailable for key id c357c334a9e77954.,tests/test_env_persistence_e2e.py::test_presenter_load_shows_no_env_when_key_missing_for_encrypted_data
411,20:29:43,ERROR,pypost.ui.presenters.env_presenter,storage_save_failed error=Encryption key is unavailable.,tests/test_env_presenter.py::TestEnvPresenter::test_save_failure_shows_warning_dialog
420,20:29:43,WARNING,pypost.core.environment_storage_gateway,environment_storage_gateway_wait_idle_timeout elapsed_ms=100,tests/test_env_storage_responsiveness.py::test_apply_encryption_settings_after_wait_idle_no_mixed_persistence
451,20:29:43,ERROR,pypost.core.environment_secrets_codec,env_value_decrypt_failed reason=unsupported_version version=2 algorithm=fernet,tests/test_environment_secrets_codec.py::test_decrypt_rejects_v2_payload
456,20:29:43,ERROR,pypost.core.environment_secrets_codec,env_value_decrypt_failed reason=invalid_token key_id=kid-1,tests/test_environment_secrets_codec.py::test_decrypt_raises_on_invalid_ciphertext_token
469,20:29:43,ERROR,pypost.core.environment_storage_worker,environment_storage_worker_load_failed error=read failed,tests/test_environment_storage_worker.py::TestEnvironmentStorageWorker::test_load_emits_failed_on_unexpected_exception
486,20:29:43,ERROR,pypost.core.environment_storage_worker,environment_storage_worker_save_failed error=Encryption key is unavailable.,tests/test_environment_storage_worker.py::TestEnvironmentStorageWorker::test_save_emits_failed_on_encryption_error
537,20:29:43,WARNING,pypost.core.history_manager,history_manager_load_failed path=/var/folders/nw/j_4q1l450l39rp9x46khjp6c0000gn/T/tmpx0pgdab4/history.json error=Expecting value: line 1 column 1 (char 0),tests/test_history_manager.py::TestHistoryManagerLoad::test_load_corrupt_file
542,20:29:43,WARNING,pypost.core.history_manager,history_cap_enforced max=500 oldest_entry_dropped=True,tests/test_history_manager.py::TestHistoryManagerAppend::test_append_enforces_cap
558,20:29:43,ERROR,pypost.core.http_client,Connection failed: GET http://x,tests/test_http_client.py::TestHTTPClientSendRequest::test_connection_error_raises_execution_error_network
562,20:29:43,ERROR,pypost.core.http_client,Connection failed: GET http://x,tests/test_http_client.py::TestHTTPClientSendRequest::test_execution_error_detail_contains_original_message
567,20:29:43,ERROR,pypost.core.http_client,yaml_to_json_conversion_failed method=POST url='http://x' detail=while parsing a flow mapping,tests/test_http_client.py::TestHTTPClientSendRequest::test_invalid_yaml_with_flag_raises_body_error
580,20:29:43,ERROR,pypost.core.http_client,Request failed: GET http://x — fail,tests/test_http_client.py::TestHTTPClientSendRequest::test_request_exception_raises_execution_error_unknown
587,20:29:43,ERROR,pypost.core.http_client,Request timed out: GET http://x,tests/test_http_client.py::TestHTTPClientSendRequest::test_timeout_raises_execution_error_timeout
599,20:29:43,WARNING,pypost.core.template_service,template_render_fallback_to_original render_path=runtime error_type=ValueError token_count=1,tests/test_http_client.py::TestHTTPClientFunctionExpressions::test_invalid_function_expression_passthrough_in_params
600,20:29:43,WARNING,pypost.core.template_service,template_render_fallback_to_original render_path=runtime error_type=ValueError token_count=1,tests/test_http_client.py::TestHTTPClientFunctionExpressions::test_invalid_function_expression_passthrough_in_params
628,20:29:43,ERROR,pypost.core.key_provider,encryption_key_rotation_lookup_failed key_id=0000000000000000 reason=no_source_provided_key,tests/test_key_provider.py::test_get_key_by_id_raises_when_current_key_id_does_not_match
635,20:29:43,WARNING,pypost.core.key_sources.chain,key_source_chain_active_fallback failed_source=mock_unavailable next_source=environment,tests/test_key_provider.py::test_key_source_chain_fallback
642,20:29:43,ERROR,pypost.core.key_provider,encryption_key_rotation_lookup_failed key_id=01278f68845bf2b3 reason=no_source_provided_key,tests/test_key_provider.py::test_codec_missing_historical_key_raises
649,20:29:43,WARNING,pypost.core.key_sources.chain,key_source_chain_by_id_fallback failed_source=mock_unavailable key_id=1ccea46f670a02e8 next_source=environment,tests/test_key_sources_chain_coverage.py::test_key_source_chain_resolve_by_id_falls_back_to_env
657,20:29:43,WARNING,pypost.core.key_sources.registry_validation,encryption_registry_invalid_fernet_material context=env_keys_file key_id=kid1,tests/test_key_sources_chain_coverage.py::test_env_key_source_rejects_invalid_fernet_material
663,20:29:43,WARNING,pypost.core.key_sources.chain,key_source_chain_by_id_fallback failed_source=mock_unavailable key_id=7e6b488ba24b79f5 next_source=environment,tests/test_key_sources_chain_coverage.py::test_chained_provider_by_id_uses_chain_fallback
669,20:29:43,WARNING,pypost.core.key_sources.secret_store,secret_backend_chain_fallback failed_type=file next_type=file,tests/test_key_sources_secret_store.py::test_secret_backend_chain_falls_back_to_second_backend
676,20:29:43,WARNING,pypost.core.key_sources.secret_store,secret_backend_chain_fallback failed_type=vault next_type=env-indirection,tests/test_key_sources_secret_store.py::test_secret_backend_chain_falls_back_from_vault_to_env_indirection
681,20:29:43,WARNING,pypost.core.encryption_config,encryption_key_source_unsupported source=<MagicMock name='mock.load_config().env_encryption_key_source' id='4525003104'> fallback=environment,tests/test_main_window.py::TestMainWindow::test_main_window_curl_copied_status_bar
682,20:29:43,WARNING,pypost.core.encryption_config,encryption_key_source_unsupported source=<MagicMock name='mock.load_config().env_encryption_key_source' id='4525003104'> fallback=environment,tests/test_main_window.py::TestMainWindow::test_main_window_curl_copied_status_bar
683,20:29:43,WARNING,pypost.core.encryption_config,encryption_key_source_unsupported source=<MagicMock name='mock.load_config().env_encryption_key_source' id='4525003104'> fallback=environment,tests/test_main_window.py::TestMainWindow::test_main_window_curl_copied_status_bar
708,20:30:21,ERROR,pypost.core.mcp_client_service,mcp_operation_failed url=http://localhost:1080/sse operation=list_tools category=ErrorCategory.NETWORK detail=Connection refused,tests/test_mcp_client_service.py::MCPClientServiceTests::test_connect_error_raises_execution_error_network
713,20:30:21,ERROR,pypost.core.mcp_client_service,mcp_operation_failed url=http://localhost:1080/sse operation=list_tools category=ErrorCategory.TIMEOUT detail=read timed out,tests/test_mcp_client_service.py::MCPClientServiceTests::test_read_timeout_raises_execution_error_timeout
717,20:30:21,ERROR,pypost.core.mcp_client_service,mcp_operation_timeout url=http://localhost:1080/sse operation=list_tools timeout=25.0,tests/test_mcp_client_service.py::MCPClientServiceTests::test_timeout_raises_execution_error_timeout
721,20:30:21,ERROR,pypost.core.mcp_client_service,mcp_operation_failed url=http://localhost:1080/sse operation=list_tools category=ErrorCategory.UNKNOWN detail=something broke,tests/test_mcp_client_service.py::MCPClientServiceTests::test_unknown_error_raises_execution_error_unknown
800,20:30:22,WARNING,pypost.core.request_manager,delete_request_not_found request_id=missing,tests/test_request_manager_delete.py::RequestManagerDeleteTests::test_delete_collection_item_routes_by_type
801,20:30:22,WARNING,pypost.core.request_manager,delete_collection_item_unsupported_type item_id=c1 item_type=unsupported,tests/test_request_manager_delete.py::RequestManagerDeleteTests::test_delete_collection_item_routes_by_type
807,20:30:22,WARNING,pypost.core.request_manager,rename_request_rejected_empty_name request_id=r1,tests/test_request_manager_delete.py::RequestManagerDeleteTests::test_rename_collection_item_rejects_empty_name
811,20:30:22,WARNING,pypost.core.request_manager,rename_collection_rejected_duplicate_name collection_id=c2 new_name=Team API,tests/test_request_manager_delete.py::RequestManagerDeleteTests::test_rename_collection_rejects_duplicate_name
827,20:30:22,ERROR,asyncio,Task was destroyed but it is pending!,tests/test_request_service.py::TestRequestServiceMCP::test_execute_mcp_does_not_call_http_client
839,20:30:22,ERROR,pypost.core.request_service,history_record_failed error=disk full,tests/test_request_service.py::TestRequestServiceHistory::test_history_failure_tracked_via_metrics
852,20:30:22,WARNING,pypost.core.request_service,retry_exhausted method=GET url='http://x' request_name='New Request' retries=0 error_category=ErrorCategory.NETWORK error=no conn detail=retries_attempted: 0,tests/test_request_service.py::TestRequestServiceErrorHandling::test_execution_error_from_http_client_returns_execution_result
853,20:30:22,ERROR,pypost.core.request_service,request_execution_failed method=GET url='http://x' category=ErrorCategory.NETWORK detail=retries_attempted: 0,tests/test_request_service.py::TestRequestServiceErrorHandling::test_execution_error_from_http_client_returns_execution_result
857,20:30:22,WARNING,pypost.core.request_service,retry_exhausted method=GET url='http://x' request_name='New Request' retries=0 error_category=ErrorCategory.NETWORK error=no conn detail=retries_attempted: 0,tests/test_request_service.py::TestRequestServiceErrorHandling::test_network_error_populates_execution_error_category
858,20:30:22,ERROR,pypost.core.request_service,request_execution_failed method=GET url='http://x' category=ErrorCategory.NETWORK detail=retries_attempted: 0,tests/test_request_service.py::TestRequestServiceErrorHandling::test_network_error_populates_execution_error_category
862,20:30:22,WARNING,pypost.core.request_service,retry_exhausted method=GET url='http://x' request_name='New Request' retries=0 error_category=ErrorCategory.NETWORK error=no conn detail=retries_attempted: 0,tests/test_request_service.py::TestRequestServiceErrorHandling::test_network_error_response_has_status_code_zero
863,20:30:22,ERROR,pypost.core.request_service,request_execution_failed method=GET url='http://x' category=ErrorCategory.NETWORK detail=retries_attempted: 0,tests/test_request_service.py::TestRequestServiceErrorHandling::test_network_error_response_has_status_code_zero
867,20:30:22,WARNING,pypost.core.request_service,retry_exhausted method=GET url='http://x' request_name='New Request' retries=0 error_category=ErrorCategory.NETWORK error=no conn detail=retries_attempted: 0,tests/test_request_service.py::TestRequestServiceErrorHandling::test_network_error_tracks_metrics
868,20:30:22,ERROR,pypost.core.request_service,request_execution_failed method=GET url='http://x' category=ErrorCategory.NETWORK detail=retries_attempted: 0,tests/test_request_service.py::TestRequestServiceErrorHandling::test_network_error_tracks_metrics
874,20:30:22,WARNING,pypost.core.request_service,retryable_status method=GET url='http://x' status=500 attempt=0 max_retries=2,tests/test_request_service.py::TestRequestServiceRetryPolicyResolution::test_app_default_used_when_no_per_request_policy
875,20:30:23,WARNING,pypost.core.request_service,retryable_status method=GET url='http://x' status=500 attempt=1 max_retries=2,tests/test_request_service.py::TestRequestServiceRetryPolicyResolution::test_app_default_used_when_no_per_request_policy
876,20:30:25,WARNING,pypost.core.request_service,retry_exhausted method=GET url='http://x' request_name='New Request' retries=2 error_category=ErrorCategory.NETWORK error=HTTP 500 detail=retries_attempted: 2,tests/test_request_service.py::TestRequestServiceRetryPolicyResolution::test_app_default_used_when_no_per_request_policy
877,20:30:25,ERROR,pypost.core.request_service,request_execution_failed method=GET url='http://x' category=ErrorCategory.NETWORK detail=retries_attempted: 2,tests/test_request_service.py::TestRequestServiceRetryPolicyResolution::test_app_default_used_when_no_per_request_policy
882,20:30:25,WARNING,pypost.core.request_service,retryable_status method=GET url='http://x' status=500 attempt=0 max_retries=1,tests/test_request_service.py::TestRequestServiceRetryPolicyResolution::test_per_request_policy_wins_over_app_default
883,20:30:26,WARNING,pypost.core.request_service,retry_exhausted method=GET url='http://x' request_name='New Request' retries=1 error_category=ErrorCategory.NETWORK error=HTTP 500 detail=retries_attempted: 1,tests/test_request_service.py::TestRequestServiceRetryPolicyResolution::test_per_request_policy_wins_over_app_default
884,20:30:26,ERROR,pypost.core.request_service,request_execution_failed method=GET url='http://x' category=ErrorCategory.NETWORK detail=retries_attempted: 1,tests/test_request_service.py::TestRequestServiceRetryPolicyResolution::test_per_request_policy_wins_over_app_default
905,20:30:26,WARNING,pypost.core.request_service,retryable_status method=GET url='http://example.com' status=503 attempt=0 max_retries=1,tests/test_retry.py::TestRetryOnRetryableStatusCode::test_retries_on_503_then_succeeds
909,20:30:26,WARNING,pypost.core.request_service,retryable_status method=GET url='http://example.com' status=503 attempt=0 max_retries=3,tests/test_retry.py::TestRetryOnRetryableStatusCode::test_retries_three_times_then_succeeds
910,20:30:26,WARNING,pypost.core.request_service,retryable_status method=GET url='http://example.com' status=503 attempt=1 max_retries=3,tests/test_retry.py::TestRetryOnRetryableStatusCode::test_retries_three_times_then_succeeds
911,20:30:26,WARNING,pypost.core.request_service,retryable_status method=GET url='http://example.com' status=503 attempt=2 max_retries=3,tests/test_retry.py::TestRetryOnRetryableStatusCode::test_retries_three_times_then_succeeds
915,20:30:26,WARNING,pypost.core.request_service,retryable_error method=GET url='http://example.com' category=ErrorCategory.NETWORK attempt=0 max_retries=2 error=conn reset,tests/test_retry.py::TestRetryOnException::test_detail_contains_retries_attempted_on_exhaustion
916,20:30:26,WARNING,pypost.core.request_service,retryable_error method=GET url='http://example.com' category=ErrorCategory.NETWORK attempt=1 max_retries=2 error=conn reset,tests/test_retry.py::TestRetryOnException::test_detail_contains_retries_attempted_on_exhaustion
917,20:30:26,WARNING,pypost.core.request_service,retry_exhausted method=GET url='http://example.com' request_name='New Request' retries=2 error_category=ErrorCategory.NETWORK error=conn reset detail=retries_attempted: 2,tests/test_retry.py::TestRetryOnException::test_detail_contains_retries_attempted_on_exhaustion
918,20:30:26,ERROR,pypost.core.request_service,request_execution_failed method=GET url='http://example.com' category=ErrorCategory.NETWORK detail=retries_attempted: 2,tests/test_retry.py::TestRetryOnException::test_detail_contains_retries_attempted_on_exhaustion
922,20:30:26,WARNING,pypost.core.request_service,retryable_error method=GET url='http://example.com' category=ErrorCategory.NETWORK attempt=0 max_retries=2 error=conn reset,tests/test_retry.py::TestRetryOnException::test_exhausted_exception_retries_returns_execution_result_with_error
923,20:30:26,WARNING,pypost.core.request_service,retryable_error method=GET url='http://example.com' category=ErrorCategory.NETWORK attempt=1 max_retries=2 error=conn reset,tests/test_retry.py::TestRetryOnException::test_exhausted_exception_retries_returns_execution_result_with_error
924,20:30:26,WARNING,pypost.core.request_service,retry_exhausted method=GET url='http://example.com' request_name='New Request' retries=2 error_category=ErrorCategory.NETWORK error=conn reset detail=retries_attempted: 2,tests/test_retry.py::TestRetryOnException::test_exhausted_exception_retries_returns_execution_result_with_error
925,20:30:26,ERROR,pypost.core.request_service,request_execution_failed method=GET url='http://example.com' category=ErrorCategory.NETWORK detail=retries_attempted: 2,tests/test_retry.py::TestRetryOnException::test_exhausted_exception_retries_returns_execution_result_with_error
929,20:30:26,WARNING,pypost.core.request_service,retryable_error method=GET url='http://example.com' category=ErrorCategory.NETWORK attempt=0 max_retries=1 error=conn reset,tests/test_retry.py::TestRetryOnException::test_retries_on_network_exception_then_succeeds
933,20:30:26,WARNING,pypost.core.request_service,retryable_status method=GET url='http://example.com' status=503 attempt=0 max_retries=1,tests/test_retry.py::TestRetryCallback::test_no_callback_does_not_raise
937,20:30:26,WARNING,pypost.core.request_service,retryable_error method=GET url='http://example.com' category=ErrorCategory.NETWORK attempt=0 max_retries=2 error=fail,tests/test_retry.py::TestRetryCallback::test_retry_callback_called_for_each_attempt
938,20:30:26,WARNING,pypost.core.request_service,retryable_error method=GET url='http://example.com' category=ErrorCategory.NETWORK attempt=1 max_retries=2 error=fail,tests/test_retry.py::TestRetryCallback::test_retry_callback_called_for_each_attempt
942,20:30:26,WARNING,pypost.core.request_service,retryable_status method=GET url='http://example.com' status=503 attempt=0 max_retries=1,tests/test_retry.py::TestRetryCallback::test_retry_callback_called_once_on_single_retry
946,20:30:26,ERROR,pypost.core.request_service,request_execution_failed method=GET url='http://example.com' category=ErrorCategory.CANCELLED detail=Cancelled during retry delay,tests/test_retry.py::TestStopFlagDuringRetry::test_stop_flag_cancels_retry
950,20:30:26,WARNING,pypost.core.request_service,retryable_status method=GET url='http://example.com' status=503 attempt=0 max_retries=1,tests/test_retry.py::TestRetryMetrics::test_no_metrics_no_error_on_retry
954,20:30:26,WARNING,pypost.core.request_service,retryable_status method=GET url='http://example.com' status=503 attempt=0 max_retries=2,tests/test_retry.py::TestRetryMetrics::test_track_retry_attempt_called_on_each_retry
955,20:30:26,WARNING,pypost.core.request_service,retryable_status method=GET url='http://example.com' status=503 attempt=1 max_retries=2,tests/test_retry.py::TestRetryMetrics::test_track_retry_attempt_called_on_each_retry
